Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-07
Horizontal Delay,0.0527
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.04
,
,
,
Label,
TIME,CH1
5.269800e-02,0.62
5.269800e-02,0.6
5.269800e-02,0.62
5.269800e-02,0.62
5.269800e-02,0.6
5.269800e-02,0.62
5.269800e-02,0.6
5.269800e-02,0.6
5.269800e-02,0.62
5.269800e-02,0.58
5.269800e-02,0.58
5.269800e-02,0.58
5.269800e-02,0.58
5.269801e-02,0.58
5.269801e-02,0.56
5.269801e-02,0.56
5.269801e-02,0.56
5.269801e-02,0.56
5.269801e-02,0.54
5.269801e-02,0.56
5.269801e-02,0.56
5.269801e-02,0.56
5.269801e-02,0.58
5.269801e-02,0.58
5.269801e-02,0.56
5.269801e-02,0.56
5.269801e-02,0.56
5.269801e-02,0.56
5.269801e-02,0.54
5.269801e-02,0.56
5.269801e-02,0.54
5.269801e-02,0.56
5.269801e-02,0.56
5.269801e-02,0.52
5.269801e-02,0.52
5.269801e-02,0.54
5.269801e-02,0.5
5.269801e-02,0.52
5.269802e-02,0.52
5.269802e-02,0.52
5.269802e-02,0.5
5.269802e-02,0.52
5.269802e-02,0.52
5.269802e-02,0.52
5.269802e-02,0.52
5.269802e-02,0.52
5.269802e-02,0.52
5.269802e-02,0.52
5.269802e-02,0.52
5.269802e-02,0.5
5.269802e-02,0.5
5.269802e-02,0.5
5.269802e-02,0.5
5.269802e-02,0.5
5.269802e-02,0.48
5.269802e-02,0.48
5.269802e-02,0.48
5.269802e-02,0.48
5.269802e-02,0.48
5.269802e-02,0.44
5.269802e-02,0.46
5.269802e-02,0.44
5.269802e-02,0.46
5.269803e-02,0.44
5.269803e-02,0.46
5.269803e-02,0.46
5.269803e-02,0.46
5.269803e-02,0.48
5.269803e-02,0.46
5.269803e-02,0.46
5.269803e-02,0.48
5.269803e-02,0.46
5.269803e-02,0.44
5.269803e-02,0.46
5.269803e-02,0.46
5.269803e-02,0.44
5.269803e-02,0.44
5.269803e-02,0.4
5.269803e-02,0.42
5.269803e-02,0.42
5.269803e-02,0.42
5.269803e-02,0.4
5.269803e-02,0.4
5.269803e-02,0.42
5.269803e-02,0.42
5.269803e-02,0.42
5.269803e-02,0.4
5.269803e-02,0.42
5.269804e-02,0.42
5.269804e-02,0.4
5.269804e-02,0.4
5.269804e-02,0.4
5.269804e-02,0.4
5.269804e-02,0.4
5.269804e-02,0.38
5.269804e-02,0.38
5.269804e-02,0.38
5.269804e-02,0.4
5.269804e-02,0.38
5.269804e-02,0.38
5.269804e-02,0.38
5.269804e-02,0.38
5.269804e-02,0.36
5.269804e-02,0.38
5.269804e-02,0.36
5.269804e-02,0.36
5.269804e-02,0.38
5.269804e-02,0.36
5.269804e-02,0.38
5.269804e-02,0.38
5.269804e-02,0.38
5.269804e-02,0.36
5.269804e-02,0.36
5.269805e-02,0.38
5.269805e-02,0.36
5.269805e-02,0.36
5.269805e-02,0.34
5.269805e-02,0.34
5.269805e-02,0.38
5.269805e-02,0.34
5.269805e-02,0.34
5.269805e-02,0.34
5.269805e-02,0.36
5.269805e-02,0.34
5.269805e-02,0.32
5.269805e-02,0.38
5.269805e-02,0.36
5.269805e-02,0.32
5.269805e-02,0.34
5.269805e-02,0.34
5.269805e-02,0.32
5.269805e-02,0.34
5.269805e-02,0.36
5.269805e-02,0.32
5.269805e-02,0.32
5.269805e-02,0.32
5.269805e-02,0.32
5.269805e-02,0.32
5.269806e-02,0.34
5.269806e-02,0.32
5.269806e-02,0.32
5.269806e-02,0.32
5.269806e-02,0.32
5.269806e-02,0.32
5.269806e-02,0.3
5.269806e-02,0.32
5.269806e-02,0.3
5.269806e-02,0.32
5.269806e-02,0.32
5.269806e-02,0.3
5.269806e-02,0.32
5.269806e-02,0.32
5.269806e-02,0.32
5.269806e-02,0.3
5.269806e-02,0.3
5.269806e-02,0.32
5.269806e-02,0.3
5.269806e-02,0.3
5.269806e-02,0.3
5.269806e-02,0.3
5.269806e-02,0.3
5.269806e-02,0.3
5.269806e-02,0.3
5.269807e-02,0.3
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.3
5.269807e-02,0.3
5.269807e-02,0.28
5.269807e-02,0.32
5.269807e-02,0.3
5.269807e-02,0.3
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.28
5.269807e-02,0.26
5.269807e-02,0.28
5.269807e-02,0.26
5.269807e-02,0.26
5.269808e-02,0.24
5.269808e-02,0.26
5.269808e-02,0.26
5.269808e-02,0.24
5.269808e-02,0.26
5.269808e-02,0.22
5.269808e-02,0.26
5.269808e-02,0.24
5.269808e-02,0.24
5.269808e-02,0.22
5.269808e-02,0.24
5.269808e-02,0.24
5.269808e-02,0.24
5.269808e-02,0.24
5.269808e-02,0.22
5.269808e-02,0.22
5.269808e-02,0.22
5.269808e-02,0.2
5.269808e-02,0.22
5.269808e-02,0.22
5.269808e-02,0.22
5.269808e-02,0.24
5.269808e-02,0.24
5.269808e-02,0.22
5.269808e-02,0.24
5.269809e-02,0.24
5.269809e-02,0.22
5.269809e-02,0.24
5.269809e-02,0.24
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.22
5.269809e-02,0.2
5.269809e-02,0.22
5.269809e-02,0.18
5.269809e-02,0.22
5.269809e-02,0.2
5.269809e-02,0.18
5.269809e-02,0.22
5.269809e-02,0.2
5.269809e-02,0.22
5.269810e-02,0.18
5.269810e-02,0.18
5.269810e-02,0.2
5.269810e-02,0.18
5.269810e-02,0.2
5.269810e-02,0.2
5.269810e-02,0.2
5.269810e-02,0.18
5.269810e-02,0.2
5.269810e-02,0.18
5.269810e-02,0.18
5.269810e-02,0.14
5.269810e-02,0.18
5.269810e-02,0.2
5.269810e-02,0.2
5.269810e-02,0.18
5.269810e-02,0.2
5.269810e-02,0.16
5.269810e-02,0.18
5.269810e-02,0.2
5.269810e-02,0.18
5.269810e-02,0.18
5.269810e-02,0.2
5.269810e-02,0.2
5.269810e-02,0.2
5.269811e-02,0.22
5.269811e-02,0.18
5.269811e-02,0.2
5.269811e-02,0.18
5.269811e-02,0.18
5.269811e-02,0.16
5.269811e-02,0.16
5.269811e-02,0.2
5.269811e-02,0.16
5.269811e-02,0.18
5.269811e-02,0.18
5.269811e-02,0.16
5.269811e-02,0.16
5.269811e-02,0.16
5.269811e-02,0.18
5.269811e-02,0.16
5.269811e-02,0.16
5.269811e-02,0.16
5.269811e-02,0.16
5.269811e-02,0.16
5.269811e-02,0.14
5.269811e-02,0.16
5.269811e-02,0.16
5.269811e-02,0.16
5.269811e-02,0.16
5.269812e-02,0.16
5.269812e-02,0.16
5.269812e-02,0.14
5.269812e-02,0.18
5.269812e-02,0.16
5.269812e-02,0.16
5.269812e-02,0.16
5.269812e-02,0.14
5.269812e-02,0.16
5.269812e-02,0.16
5.269812e-02,0.18
5.269812e-02,0.18
5.269812e-02,0.18
5.269812e-02,0.16
5.269812e-02,0.18
5.269812e-02,0.18
5.269812e-02,0.16
5.269812e-02,0.18
5.269812e-02,0.16
5.269812e-02,0.16
5.269812e-02,0.16
5.269812e-02,0.2
5.269812e-02,0.16
5.269812e-02,0.16
5.269812e-02,0.16
5.269813e-02,0.16
5.269813e-02,0.16
5.269813e-02,0.16
5.269813e-02,0.16
5.269813e-02,0.14
5.269813e-02,0.18
5.269813e-02,0.16
5.269813e-02,0.16
5.269813e-02,0.16
5.269813e-02,0.14
5.269813e-02,0.16
5.269813e-02,0.16
5.269813e-02,0.14
5.269813e-02,0.16
5.269813e-02,0.16
5.269813e-02,0.14
5.269813e-02,0.16
5.269813e-02,0.16
5.269813e-02,0.18
